dia,mes,referencia,texto,traducao
91,Abril,João 11:25-26,"Disse-lhe Jesus: Eu sou a ressurreição e a vida. Aquele que crê em mim viverá; mesmo que morra; e quem viver e crer em mim nunca morrerá.",NVI
92,Abril,1 Pedro 1:3,"Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo! Por sua grande misericórdia; ele nos fez nascer de novo para uma esperança viva; mediante a ressurreição de Jesus Cristo dentre os mortos.",NVI
93,Abril,Romanos 15:13,"Que o Deus da esperança os encha de toda alegria e paz; por sua confiança nele; para que vocês transbordem de esperança pelo poder do Espírito Santo.",NVI
94,Abril,1 Coríntios 15:20,"Mas Cristo ressuscitou dos mortos; sendo as primícias dos que morreram.",NVI
95,Abril,João 14:19,"Dentro de pouco tempo o mundo não me verá mais; mas vocês me verão. Porque eu vivo; vocês também viverão.",NVI
96,Abril,Romanos 6:9,"Pois sabemos que Cristo; tendo sido ressuscitado dentre os mortos; não morre mais; a morte não tem mais domínio sobre ele.",NVI
97,Abril,1 Coríntios 15:55,"Onde está; ó morte; a tua vitória? Onde está; ó morte; o teu aguilhão?",NVI
98,Abril,2 Coríntios 1:3,"Bendito seja o Deus e Pai de nosso Senhor Jesus Cristo; o Pai das misericórdias e Deus de toda consolação.",NVI
99,Abril,Salmos 62:5,"Só em Deus; ó minha alma; descansa; porque dele vem a minha esperança.",NVI
100,Abril,Romanos 5:5,"E a esperança não nos envergonha; porque o amor de Deus foi derramado em nosso coração pelo Espírito Santo que nos foi dado.",NVI
101,Abril,Hebreus 6:19,"Essa esperança é uma âncora para a nossa alma; firme e segura. Ela penetra no interior do véu.",NVI
102,Abril,Apocalipse 21:4,"Ele enxugará dos seus olhos toda lágrima. Não haverá mais morte; nem tristeza; nem choro; nem dor; pois as antigas coisas já passaram.",NVI
103,Abril,João 14:2-3,"Na casa do meu Pai há muitas moradas; se não fosse assim; eu teria dito a vocês. Vou preparar um lugar para vocês. E; se eu for e preparar um lugar; voltarei e os levarei para mim.",NVI
104,Abril,Filipenses 3:20-21,"Mas a nossa pátria está nos céus; de onde esperamos ansiosamente um Salvador; o Senhor Jesus Cristo; que transformará o nosso corpo de humilhação para ser igual ao seu corpo de glória.",NVI
105,Abril,1 Coríntios 15:58,"Portanto; meus amados irmãos; sejam firmes e inabaláveis; sempre abundando na obra do Senhor; pois sabem que o trabalho de vocês no Senhor não é inútil.",NVI
106,Abril,1 João 3:2,"Amados; agora somos filhos de Deus; mas ainda não foi revelado o que viremos a ser. Sabemos; porém; que quando ele aparecer; seremos semelhantes a ele; pois o veremos como ele é.",NVI
107,Abril,Salmos 16:11,"Tu me mostrarás o caminho da vida; na tua presença há alegria plena; à tua destra há prazer para sempre.",NVI
108,Abril,Isaías 25:8,"Ele destruirá a morte para sempre; o Soberano Senhor enxugará as lágrimas de todos os rostos.",NVI
109,Abril,1 Pedro 5:10,"Mas o Deus de toda a graça; que os chamou para a sua glória eterna em Cristo; depois de sofrerem um pouco; ele mesmo os restaurará; firmará; fortalecerá e estabelecerá.",NVI
110,Abril,Romanos 8:18,"Considero que os sofrimentos do tempo presente não têm proporção com a glória que em nós há de ser revelada.",NVI
111,Abril,Tito 2:13,"Enquanto aguardamos a bendita esperança; o aparecimento da glória do nosso grande Deus e Salvador; Jesus Cristo.",NVI
112,Abril,Lucas 24:34,"O Senhor ressuscitou e apareceu a Simão!",NVI
113,Abril,Apocalipse 1:18,"Eu sou o que vive. Estive morto; mas agora vivo para sempre e tenho as chaves da morte e do inferno.",NVI
114,Abril,Colossenses 3:4,"Quando Cristo; que é a sua vida; aparecer; então vocês também aparecerão com ele em glória.",NVI
115,Abril,2 Timóteo 4:8,"Agora me está reservada a coroa da justiça que o Senhor; o Juiz justo; me dará naquele dia; e não somente a mim; mas a todos os que esperaram com amor o seu retorno.",NVI
116,Abril,João 17:24,"Pai; quero que aqueles que me deste estejam comigo onde eu estiver; para verem a minha glória.",NVI
117,Abril,Apocalipse 22:20,"Aquele que dá testemunho dessas coisas diz: Sim; venho em breve. Amém! Vem; Senhor Jesus!",NVI
118,Abril,1 Tessalonicenses 4:14,"Pois cremos que Jesus morreu e ressuscitou; cremos também que Deus trará com Jesus os que morreram em Cristo.",NVI
119,Abril,Salmos 30:5,"Pois a sua ira dura apenas um momento; mas o seu favor dura a vida inteira. Ao anoitecer chegam as lágrimas; mas pela manhã vem a alegria.",NVI
120,Abril,Romanos 8:11,"E; se o Espírito daquele que ressuscitou Jesus dentre os mortos habita em vocês; aquele que ressuscitou Cristo dentre os mortos também dará vida aos seus corpos mortais; por meio do seu Espírito que habita em vocês.",NVI
121,Maio,Provérbios 1:7,"O temor do Senhor é o princípio do conhecimento; os tolos desprezam a sabedoria e a disciplina.",NVI
122,Maio,Tiago 1:5,"Se algum de vocês tem falta de sabedoria; peça-a a Deus; que a todos dá livremente e sem censura; e lhe será dada.",NVI
123,Maio,Provérbios 3:7,"Não sejas sábio aos teus próprios olhos; teme ao Senhor e aparta-te do mal.",NVI
124,Maio,Provérbios 9:10,"O temor do Senhor é o princípio da sabedoria; o conhecimento do Santo é entendimento.",NVI
125,Maio,Eclesiastes 12:13,"Teme a Deus e guarda os seus mandamentos; porque isso é o dever de todo ser humano.",NVI
126,Maio,Provérbios 4:7,"A sabedoria é a coisa mais importante; portanto; adquire sabedoria. Acima de tudo o que possuis; adquire entendimento.",NVI
127,Maio,Salmos 111:10,"O temor do Senhor é o princípio da sabedoria; todos os que praticam os seus preceitos têm sã inteligência.",NVI
128,Maio,Provérbios 2:6,"Porque o Senhor é quem dá a sabedoria; da sua boca procedem o conhecimento e o entendimento.",NVI
129,Maio,Colossenses 2:3,"Em Cristo estão escondidos todos os tesouros da sabedoria e do conhecimento.",NVI
130,Maio,1 Coríntios 1:25,"Pois a loucura de Deus é mais sábia do que a sabedoria humana; e a fraqueza de Deus é mais forte do que a força humana.",NVI
131,Maio,Provérbios 11:2,"Com o orgulho vem a desonra; mas com a humildade vem a sabedoria.",NVI
132,Maio,Provérbios 16:16,"Quanto melhor é adquirir sabedoria do que ouro! É mais importante adquirir entendimento do que prata.",NVI
133,Maio,Tiago 3:17,"A sabedoria que vem do alto é; antes de tudo; pura; pacífica; atenciosa; dócil; cheia de misericórdia e de bons frutos; imparcial e sincera.",NVI
134,Maio,Provérbios 13:20,"Anda com os sábios e te tornarás sábio; quem se associa com tolos acaba se dando mal.",NVI
135,Maio,Provérbios 19:20,"Escuta o conselho e aceita a disciplina; para que sejas sábio no futuro.",NVI
136,Maio,Provérbios 4:23,"Acima de tudo; guarda o teu coração; pois dele procedem as fontes da vida.",NVI
137,Maio,Salmos 90:12,"Ensina-nos a bem computar os nossos anos; para que alcancemos coração sábio.",NVI
138,Maio,Provérbios 21:30,"Não há sabedoria nem entendimento nem conselho que possa prevalecer contra o Senhor.",NVI
139,Maio,Provérbios 8:11,"Porque a sabedoria é melhor do que rubis; e coisa alguma que se deseje se pode comparar a ela.",NVI
140,Maio,Eclesiastes 7:12,"Porque a sabedoria é proteção; assim como o dinheiro é proteção; mas a vantagem do conhecimento é esta: que a sabedoria preserva a vida de quem a possui.",NVI
141,Maio,Provérbios 15:33,"O temor do Senhor ensina a sabedoria; a humildade precede a honra.",NVI
142,Maio,Provérbios 10:19,"Quando há muitas palavras; o pecado não está ausente; mas quem refreia a língua é sábio.",NVI
143,Maio,Provérbios 12:15,"O caminho do tolo parece certo a seus próprios olhos; mas o sábio dá ouvidos aos conselhos.",NVI
144,Maio,Salmos 25:9,"Ele guia os humildes na justiça e ensina o seu caminho aos mansos.",NVI
145,Maio,Provérbios 24:3,"Pela sabedoria a casa é edificada; pelo entendimento ela se mantém firme.",NVI
146,Maio,Provérbios 14:29,"Quem é paciente tem grande entendimento; mas quem é irascível demonstra muita tolice.",NVI
147,Maio,1 Reis 3:9,"Dá ao teu servo um coração compreensivo para governar o teu povo e discernir o que é bom e o que é mau.",NVI
148,Maio,Provérbios 16:3,"Entrega ao Senhor tudo o que fazes; e os teus planos serão bem-sucedidos.",NVI
149,Maio,Daniel 2:20,"Seja bendito o nome de Deus para sempre e eternamente; pois a ele pertencem a sabedoria e o poder.",NVI
150,Maio,Efésios 5:15-16,"Tenham; pois; muito cuidado com a maneira como vivem; não como insensatos; mas como sábios; aproveitando ao máximo cada oportunidade.",NVI
151,Maio,Salmos 37:30,"A boca do justo fala sabedoria; e a sua língua diz o que é justo.",NVI
152,Junho,João 14:27,"Deixo-lhes a paz; a minha paz lhes dou. Não lhes dou como o mundo dá. Não se perturbe o coração de vocês nem tenham medo.",NVI
153,Junho,Filipenses 4:7,"E a paz de Deus; que excede a todo o entendimento; guardará o coração e a mente de vocês em Cristo Jesus.",NVI
154,Junho,Isaías 26:3,"Tu guardarás em perfeita paz aquele cujo propósito é firme; porque em ti confia.",NVI
155,Junho,Romanos 5:1,"Tendo; pois; sido justificados por fé; temos paz com Deus por meio de nosso Senhor Jesus Cristo.",NVI
156,Junho,Salmos 4:8,"Em paz me deitarei e logo adormeço; porque só tu; Senhor; me fazes morar em segurança.",NVI
157,Junho,Colossenses 3:15,"Que a paz de Cristo reine em seus corações; pois foi para isso que vocês foram chamados como membros de um único corpo. E sejam agradecidos.",NVI
158,Junho,2 Tessalonicenses 3:16,"Que o próprio Senhor da paz lhes dê continuamente a paz em todas as circunstâncias.",NVI
159,Junho,Números 6:26,"O Senhor volte para você o seu rosto e lhe dê a paz.",NVI
160,Junho,Salmos 29:11,"O Senhor dá força ao seu povo; o Senhor abençoa o seu povo com a paz.",NVI
161,Junho,João 16:33,"Eu lhes disse essas coisas para que em mim vocês tenham paz. Neste mundo vocês terão aflições; mas tenham ânimo! Eu venci o mundo.",NVI
162,Junho,Filipenses 4:6,"Não andem ansiosos por coisa alguma; mas em tudo; pela oração e súplicas; com ações de graças; apresentem seus pedidos a Deus.",NVI
163,Junho,Mateus 5:9,"Bem-aventurados os pacificadores; pois serão chamados filhos de Deus.",NVI
164,Junho,Romanos 8:6,"Pois a mentalidade da carne é morte; mas a mentalidade do Espírito é vida e paz.",NVI
165,Junho,Isaías 32:17,"O fruto da justiça será a paz; o efeito da justiça será tranquilidade e confiança para sempre.",NVI
166,Junho,Salmos 34:14,"Desvie-se do mal e faça o bem; busque a paz e empenhe-se por ela.",NVI
167,Junho,1 Pedro 3:11,"Que se afaste do mal e faça o bem; que procure a paz e a siga.",NVI
168,Junho,Provérbios 12:20,"O engano está no coração dos que maquinam o mal; mas a alegria está nos que promovem a paz.",NVI
169,Junho,Salmos 119:165,"Grande paz têm os que amam a tua lei; nada os faz tropeçar.",NVI
170,Junho,2 Coríntios 13:11,"Vivam em paz; e o Deus do amor e da paz estará com vocês.",NVI
171,Junho,Hebreus 12:14,"Esforcem-se em viver em paz com todos e em ser santos; sem santidade ninguém verá o Senhor.",NVI
172,Junho,Romanos 12:18,"Se possível; na medida do que depender de vocês; vivam em paz com todos.",NVI
173,Junho,Tiago 3:18,"E o fruto da justiça é semeado em paz pelos que promovem a paz.",NVI
174,Junho,Lucas 2:14,"Glória a Deus nas alturas e paz na terra aos homens a quem ele quer bem!",NVI
175,Junho,Efésios 2:14,"Porque Cristo é a nossa paz; foi ele quem fez de dois grupos um só e destruiu a barreira que separava os dois povos.",NVI
176,Junho,Gálatas 5:22,"Mas o fruto do Espírito é: amor; alegria; paz; paciência; amabilidade; bondade; fidelidade.",NVI
177,Junho,Romanos 14:17,"O Reino de Deus não é questão de comida ou bebida; mas de justiça; paz e alegria no Espírito Santo.",NVI
178,Junho,Mateus 11:29,"Tomem sobre vocês o meu jugo e aprendam de mim; porque sou manso e humilde de coração; e encontrarão descanso para as almas de vocês.",NVI
179,Junho,Salmos 85:8,"Escutarei o que o Senhor Deus falar; porque ele promete paz ao seu povo.",NVI
180,Junho,Isaías 9:6,"Pois nos nasceu um menino; um filho nos foi dado; o governo está sobre seus ombros; e seu nome é Maravilhoso Conselheiro; Deus Forte; Pai Eterno; Príncipe da Paz.",NVI
181,Junho,Ezequiel 34:25,"Farei com eles uma aliança de paz.",NVI
182,Julho,Josué 1:9,"Não fui eu quem ordenei a você? Seja forte e corajoso! Não se apavore nem desanime; pois o Senhor; o seu Deus; estará com você por onde você andar.",NVI
183,Julho,Deuteronômio 31:6,"Sejam fortes e corajosos. Não tenham medo nem fiquem apavorados por causa deles; pois o Senhor; o seu Deus; vai com vocês; nunca os deixará; nunca os abandonará.",NVI
184,Julho,Isaías 40:31,"Mas os que esperam no Senhor renovam as suas forças. Voam alto como águias; correm e não ficam exaustos; andam e não se cansam.",NVI
185,Julho,Salmos 27:14,"Espere no Senhor; seja forte e corajoso. Sim; espere no Senhor.",NVI
186,Julho,1 Coríntios 16:13,"Estejam alertas; mantenham-se firmes na fé; sejam homens de coragem; sejam fortes.",NVI
187,Julho,Efésios 6:10,"Finalmente; fortaleçam-se no Senhor e no seu imenso poder.",NVI
188,Julho,2 Timóteo 1:7,"Pois Deus não nos deu espírito de covardia; mas de poder; de amor e de equilíbrio.",NVI
189,Julho,Filipenses 4:13,"Tudo posso naquele que me fortalece.",NVI
190,Julho,Salmos 18:32,"É Deus quem me reveste de força e quem torna perfeito o meu caminho.",NVI
191,Julho,Isaías 41:13,"Porque eu; o Senhor; o seu Deus; seguro a sua mão direita e lhe digo: Não tenha medo; eu o ajudarei.",NVI
192,Julho,Zacarias 4:6,"Não por força nem por poder; mas pelo meu Espírito; diz o Senhor dos Exércitos.",NVI
193,Julho,Salmos 68:35,"Espantoso és tu; ó Deus; em teus santuários; o Deus de Israel dá força e poder ao seu povo. Louvado seja Deus!",NVI
194,Julho,Josué 1:7,"Seja forte e muito corajoso. Tenha o cuidado de obedecer a toda a lei que o meu servo Moisés lhe ordenou; não se desvie nem à direita nem à esquerda; para que você prospere por onde quer que andar.",NVI
195,Julho,2 Samuel 22:33,"É Deus o meu baluarte e o meu poder; ele torna o meu caminho perfeito.",NVI
196,Julho,Salmos 31:24,"Animem-se e fortaleçam o coração; todos os que esperam no Senhor!",NVI
197,Julho,Isaías 43:1,"Mas agora; eis o que diz o Senhor que o criou; ó Jacó; que o formou; ó Israel: Não tenha medo; porque eu o resgatei; eu o chamei pelo seu nome; você é meu.",NVI
198,Julho,Deuteronômio 20:4,"Pois o Senhor; o seu Deus; vai com vocês para combater por vocês contra os seus inimigos; para lhes dar a vitória.",NVI
199,Julho,Salmos 18:2,"O Senhor é o meu rochedo; a minha fortaleza e o meu libertador; meu Deus é o meu rochedo em quem me refugio. É o meu escudo; o poder que me salva; o meu baluarte.",NVI
200,Julho,1 Crônicas 28:20,"Seja forte e corajoso; e ponha mãos à obra. Não tenha medo nem desanime; pois o Senhor Deus; o meu Deus; estará com você. Ele não o deixará nem o abandonará.",NVI
201,Julho,Romanos 8:31,"Que diremos; pois; em face dessas coisas? Se Deus é por nós; quem será contra nós?",NVI
202,Julho,2 Coríntios 12:9,"Mas ele me disse: ""A minha graça é suficiente para você; pois o meu poder se aperfeiçoa na fraqueza."" Portanto; prefiro gloriar-me nas minhas fraquezas; para que o poder de Cristo repouse sobre mim.",NVI
203,Julho,Salmos 46:1-2,"Deus é o nosso refúgio e fortaleza; socorro bem-provado nas tribulações. Por isso não tememos; mesmo que a terra se transforme.",NVI
204,Julho,Nahum 1:7,"O Senhor é bom; um refúgio nos tempos de angústia; conhece os que nele confiam.",NVI
